584,366;614,376
614,376;653,406
653,406;708,425
708,425;743,413
743,413;793,384
793,384;829,372
829,372;848,401
848,401;865,409
865,409;866,409
866,409;866,409
866,409;867,409
867,409;868,409
868,409;869,408
869,408;870,408
870,408;908,400
908,400;964,401
964,401;1018,396
1018,396;1068,373
1068,373;1114,346
1114,346;1156,322
1156,322;1194,297
1194,297;1194,296
1194,296;1237,275
1237,275;1284,268
1284,268;1318,238
1318,238;1363,212
1363,212;1396,223
1396,223;1418,198
1418,198;1416,161
1416,161;1378,126
1378,126;1334,131
1334,131;1318,151
1318,151;1305,120
1305,120;1270,137
1270,137;1237,131
1237,131;1222,119
1222,119;1198,129
1198,129;1196,107
1196,107;1183,98
1183,98;1179,83
1179,83;1162,82
1162,82;1123,84
1123,84;1083,91
1083,91;1068,99
1068,99;1030,105
1030,105;994,95
994,95;982,113
982,113;973,133
973,133;958,146
958,146;933,134
933,134;903,132
903,132;878,112
878,112;852,120
852,120;811,95
